"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityEndTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"21NC01WQ","6/20/85","10:00:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","9.8","Final","Actual"
"21NC01WQ","9/20/85","11:00:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","9","Final","Actual"
"21NC01WQ","11/18/87","15:40:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","7.8","Final","Actual"
"21NC01WQ","12/21/88","10:00:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","2.6","Final","Actual"
"21NC01WQ","5/10/83","11:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","64.2","Final","Calculated"
"21NC01WQ","1/11/89","14:45:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","3.1","Final","Actual"
"21NC01WQ","7/15/81","9:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","47.6","Final","Calculated"
"21NC01WQ","7/11/80","11:40:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","63.4","Final","Calculated"
"21NC01WQ","10/25/94","11:15:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","68.1","Final","Calculated"
"21NC01WQ","5/27/81","11:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","43.3","Final","Calculated"
"21NC01WQ","4/9/96","12:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","93.8","Final","Calculated"
"21NC01WQ","1/20/81","11:07:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","110.4","Final","Calculated"
"21NC01WQ","5/13/92","9:35:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","1.6","Final","Actual"
"21NC01WQ","7/17/85","10:40:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","0.88","Final","Actual"
"21NC01WQ","4/4/83","10:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","90.7","Final","Calculated"
"21NC01WQ","6/18/92","15:30:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","1","Final","Actual"
"21NC01WQ","10/22/85","11:30:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","6.4","Final","Actual"
"21NC01WQ","12/10/84","11:30:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","17","Final","Actual"
"21NC01WQ","9/23/87","12:20:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","15","Final","Actual"
"21NC01WQ","11/7/96","15:20:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","87.2","Final","Calculated"
"21NC01WQ","1/15/80","13:10:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","90.7","Final","Calculated"
"21NC01WQ","12/10/86","9:30:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","12","Final","Actual"
"21NC01WQ","5/23/88","15:55:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","5.7","Final","Actual"
"21NC01WQ","6/22/81","14:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","55.7","Final","Calculated"
"21NC01WQ","4/11/84","10:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","82.4","Final","Calculated"
"21NC01WQ","10/16/96","15:20:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","79.8","Final","Calculated"
"21NC01WQ","5/5/79","10:05:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","97.9","Final","Calculated"
"21NC01WQ","10/26/84","11:30:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","14","Final","Actual"
"21NC01WQ","3/16/88","14:20:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","17","Final","Actual"
"21NC01WQ","2/23/84","11:30:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","0.5","Final","Actual"
"21NC01WQ","6/12/96","15:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","77.4","Final","Calculated"
"21NC01WQ","2/2/89","15:06:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","4.7","Final","Actual"
"21NC01WQ","4/19/92","13:40:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","1.5","Final","Actual"
"21NC01WQ","8/26/85","11:25:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","2.9","Final","Actual"
"21NC01WQ","1/10/75","11:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","80","Final","Calculated"
"21NC01WQ","4/25/88","16:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","69.1","Final","Calculated"
"21NC01WQ","3/26/90","10:55:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","83","Final","Calculated"
"21NC01WQ","8/14/89","13:50:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","78.2","Final","Calculated"
"21NC01WQ","3/10/77","0:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","80.6","Final","Calculated"
"21NC01WQ","2/4/76","11:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","92.4","Final","Calculated"
"21NC01WQ","5/31/77","0:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","37.8","Final","Calculated"
"21NC01WQ","12/5/74","15:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","75","Final","Calculated"
"21NC01WQ","5/26/76","0:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","46","Final","Calculated"
"21NC01WQ","12/8/82","11:17:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","80.2","Final","Calculated"
"21NC01WQ","1/28/87","10:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","74.1","Final","Calculated"
"21NC01WQ","2/20/86","11:05:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","68.1","Final","Calculated"
"21NC01WQ","7/20/83","11:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","44","Final","Calculated"
"21NC01WQ","7/26/90","9:40:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","63.4","Final","Calculated"
"21NC01WQ","11/15/89","12:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","71.6","Final","Calculated"
"21NC01WQ","6/20/84","12:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","29.8","Final","Calculated"
"21NC01WQ","3/19/85","10:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","62.9","Final","Calculated"
"21NC01WQ","10/14/92","14:53:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","73.7","Final","Calculated"
"21NC01WQ","3/3/87","10:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","92.4","Final","Calculated"
"21NC01WQ","8/11/82","10:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","54.1","Final","Calculated"
"21NC01WQ","8/6/91","13:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","78","Final","Calculated"
"21NC01WQ","8/28/90","13:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","69.1","Final","Calculated"
"21NC01WQ","10/19/76","11:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","60.2","Final","Calculated"
"21NC01WQ","2/5/75","14:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","83","Final","Calculated"
"21NC01WQ","12/13/90","11:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","74.8","Final","Calculated"
"21NC01WQ","8/25/86","10:10:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","71.3","Final","Calculated"
"21NC01WQ","4/20/90","10:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","77.5","Final","Calculated"
"21NC01WQ","12/30/91","11:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","82.4","Final","Calculated"
"21NC01WQ","9/19/89","10:50:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","71","Final","Calculated"
"21NC01WQ","5/12/75","14:20:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","71","Final","Calculated"
"21NC01WQ","3/14/83","11:20:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","81.4","Final","Calculated"
"21NC01WQ","1/11/83","11:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","86.7","Final","Calculated"
"21NC01WQ","2/3/83","11:25:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","86.2","Final","Calculated"
"21NC01WQ","4/22/91","14:10:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","84.6","Final","Calculated"
"21NC01WQ","11/13/86","9:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","65.8","Final","Calculated"
"21NC01WQ","9/19/90","11:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","76.1","Final","Calculated"
"21NC01WQ","1/24/90","10:40:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","84.2","Final","Calculated"
"21NC01WQ","2/21/90","10:50:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","83.6","Final","Calculated"
"21NC01WQ","12/15/83","11:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","75.9","Final","Calculated"
"21NC01WQ","11/17/83","11:50:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","70.7","Final","Calculated"
"21NC01WQ","1/28/82","10:20:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","89.7","Final","Calculated"
"21NC01WQ","10/13/83","11:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","40.4","Final","Calculated"
"21NC01WQ","1/13/86","11:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","72.6","Final","Calculated"
"21NC01WQ","8/3/83","11:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","56","Final","Calculated"
"21NC01WQ","6/24/91","13:55:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","69","Final","Calculated"
"21NC01WQ","3/16/81","14:15:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","79.6","Final","Calculated"
"21NC01WQ","10/22/81","12:10:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","43.2","Final","Calculated"
"21NC01WQ","1/22/85","11:40:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","78.2","Final","Calculated"
"21NC01WQ","8/23/88","13:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","52.9","Final","Calculated"
"21NC01WQ","8/11/92","15:07:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","71.6","Final","Calculated"
"21NC01WQ","4/7/87","8:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","95.6","Final","Calculated"
"21NC01WQ","6/11/82","11:10:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","69.6","Final","Calculated"
"21NC01WQ","4/22/82","11:40:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","60.6","Final","Calculated"
"21NC01WQ","12/16/92","14:43:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","83.6","Final","Calculated"
"21NC01WQ","12/15/89","10:40:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","90.6","Final","Calculated"
"21NC01WQ","11/4/82","11:55:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","34.4","Final","Calculated"
"21NC01WQ","7/15/81","9:00:00","","","21NC01WQ-J1330000","","","Turbidity","Total","15","Final","Actual"
"21NC01WQ","5/10/83","11:30:00","","","21NC01WQ-J1330000","","","Turbidity","Total","9","Final","Actual"
"21NC01WQ","9/11/95","14:00:00","","","21NC01WQ-J1330000","","","Turbidity","Total","2.2","Final","Actual"
"21NC01WQ","11/7/96","15:20:00","","","21NC01WQ-J1330000","","","Turbidity","Total","3.4","Final","Actual"
"21NC01WQ","10/16/96","15:20:00","","","21NC01WQ-J1330000","","","Turbidity","Total","3.3","Final","Actual"
"21NC01WQ","7/25/95","14:30:00","","","21NC01WQ-J1330000","","","Turbidity","Total","18","Final","Actual"
"21NC01WQ","5/28/96","15:10:00","","","21NC01WQ-J1330000","","","Turbidity","Total","90","Final","Actual"
"21NC01WQ","11/9/94","15:00:00","","","21NC01WQ-J1330000","","","Turbidity","Total","1.2","Final","Actual"
"21NC01WQ","9/22/80","13:10:00","","","21NC01WQ-J1330000","","","Turbidity","Total","15","Final","Actual"
"21NC01WQ","10/25/94","11:15:00","","","21NC01WQ-J1330000","","","Turbidity","Total","2","Final","Actual"
"21NC01WQ","4/24/95","16:28:00","","","21NC01WQ-J1330000","","","Turbidity","Total","15","Final","Actual"
"21NC01WQ","7/11/80","11:40:00","","","21NC01WQ-J1330000","","","Turbidity","Total","55","Final","Actual"
"21NC01WQ","12/12/94","15:20:00","","","21NC01WQ-J1330000","","","Turbidity","Total","5.2","Final","Actual"
"21NC01WQ","4/9/96","12:45:00","","","21NC01WQ-J1330000","","","Turbidity","Total","60","Final","Actual"
"21NC01WQ","11/17/93","15:45:00","","","21NC01WQ-J1330000","","","Turbidity","Total","2.4","Final","Actual"
"21NC01WQ","1/10/75","11:45:00","","","21NC01WQ-J1330000","","","pH","Total","7.2","Final","Actual"
"21NC01WQ","2/4/76","11:30:00","","","21NC01WQ-J1330000","","","pH","Total","6.5","Final","Actual"
"21NC01WQ","4/29/76","16:50:00","","","21NC01WQ-J1330000","","","pH","Total","7.5","Final","Actual"
"21NC01WQ","11/20/75","10:15:00","","","21NC01WQ-J1330000","","","pH","Total","6.4","Final","Actual"
"21NC01WQ","9/25/74","11:30:00","","","21NC01WQ-J1330000","","","pH","Total","7","Final","Actual"
"21NC01WQ","6/21/88","16:00:00","","","21NC01WQ-J1330000","","","pH","Total","7.08","Final","Actual"
"21NC01WQ","9/20/85","11:00:00","","","21NC01WQ-J1330000","","","pH","Total","7","Final","Actual"
"21NC01WQ","11/13/84","11:00:00","","","21NC01WQ-J1330000","","","pH","Total","6.9","Final","Actual"
"21NC01WQ","11/18/87","15:40:00","","","21NC01WQ-J1330000","","","pH","Total","7","Final","Actual"
"21NC01WQ","9/14/84","10:20:00","","","21NC01WQ-J1330000","","","pH","Total","7","Final","Actual"
"21NC01WQ","7/26/84","10:30:00","","","21NC01WQ-J1330000","","","pH","Total","7.1","Final","Actual"
"21NC01WQ","10/18/88","10:25:00","","","21NC01WQ-J1330000","","","pH","Total","7.05","Final","Actual"
"21NC01WQ","6/18/92","15:30:00","","","21NC01WQ-J1330000","","","pH","Total","7.3","Final","Actual"
"21NC01WQ","11/17/88","16:50:00","","","21NC01WQ-J1330000","","","pH","Total","6.95","Final","Actual"
"21NC01WQ","11/18/92","15:10:00","","","21NC01WQ-J1330000","","","pH","Total","7.1","Final","Actual"
"21NC01WQ","5/13/92","9:35:00","","","21NC01WQ-J1330000","","","pH","Total","7.2","Final","Actual"
"21NC01WQ","4/11/85","10:13:00","","","21NC01WQ-J1330000","","","pH","Total","7.3","Final","Actual"
"21NC01WQ","12/10/84","11:30:00","","","21NC01WQ-J1330000","","","pH","Total","7.1","Final","Actual"
"21NC01WQ","5/16/85","11:30:00","","","21NC01WQ-J1330000","","","pH","Total","6.9","Final","Actual"
"21NC01WQ","6/25/90","10:30:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","72.5","Final","Calculated"
"21NC01WQ","1/24/95","11:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen (DO)","Dissolved","10.6","Final","Actual"
"21NC01WQ","6/25/90","10:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","67","Final","Calculated"
"21NC01WQ","9/19/89","10:50:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","402","Final","Actual"
"21NC01WQ","8/14/89","13:50:00","","","21NC01WQ-J1330000","","","Turbidity","Total","11","Final","Actual"
"21NC01WQ","1/28/87","10:00:00","","","21NC01WQ-J1330000","","","Orthophosphate as P","Total","1.4","Final","Actual"
"21NC01WQ","1/28/87","10:00:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","230","Final","Actual"
"21NC01WQ","11/13/86","9:30:00","","","21NC01WQ-J1330000","","","Inorganic nitrogen (nitrate and nitrite) as N","Total","2.4","Final","Actual"
"21NC01WQ","11/15/89","12:00:00","","","21NC01WQ-J1330000","","","Biochemical oxygen demand, standard conditions","Total","1.8","Final","Actual"
"21NC01WQ","1/24/90","10:40:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","335","Final","Actual"
"21NC01WQ","12/16/92","14:43:00","","","21NC01WQ-J1330000","","","pH","Total","6.8","Final","Actual"
"21NC01WQ","11/18/92","15:10:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","1.5","Final","Actual"
"21NC01WQ","10/14/92","14:53:00","","","21NC01WQ-J1330000","","","Dissolved oxygen (DO)","Dissolved","7","Final","Actual"
"21NC01WQ","8/11/92","15:07:00","","","21NC01WQ-J1330000","","","Ammonia-nitrogen as N","Total","0.08","Final","Actual"
"21NC01WQ","12/13/90","11:45:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","8","Final","Actual"
"21NC01WQ","9/19/90","11:45:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","68","Final","Calculated"
"21NC01WQ","11/28/90","12:30:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","15","Final","Actual"
"21NC01WQ","12/15/89","10:40:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","41","Final","Calculated"
"21NC01WQ","12/15/89","10:40:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","207","Final","Actual"
"21NC01WQ","10/22/90","12:00:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","422","Final","Actual"
"21NC01WQ","9/19/90","11:45:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","1.2","Final","Actual"
"21NC01WQ","7/18/91","13:10:00","","","21NC01WQ-J1330000","","","Phosphate-phosphorus as P","Total","0.52","Final","Actual"
"21NC01WQ","8/6/91","13:00:00","","","21NC01WQ-J1330000","","","Turbidity","Total","12","Final","Actual"
"21NC01WQ","9/26/91","10:25:00","","","21NC01WQ-J1330000","","","Ammonia-nitrogen as N","Total","0.05","Final","Actual"
"21NC01WQ","7/18/91","13:10:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","610","Final","Actual"
"21NC01WQ","3/3/87","10:30:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","6.3","Final","Actual"
"21NC01WQ","3/3/87","10:30:00","","","21NC01WQ-J1330000","","","Ammonia-nitrogen as N","Total","4.7","Final","Actual"
"21NC01WQ","10/24/86","11:00:00","","","21NC01WQ-J1330000","","","Phosphate-phosphorus as P","Total","6.1","Final","Actual"
"21NC01WQ","12/16/92","14:43:00","","","21NC01WQ-J1330000","","","Inorganic nitrogen (nitrate and nitrite) as N","Total","15","Final","Actual"
"21NC01WQ","5/19/94","15:00:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","334","Final","Actual"
"21NC01WQ","5/18/93","16:18:00","","","21NC01WQ-J1330000","","","pH","Total","7.1","Final","Actual"
"21NC01WQ","6/23/93","15:05:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","520","Final","Actual"
"21NC01WQ","2/17/93","16:03:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","8","Final","Actual"
"21NC01WQ","2/17/93","16:03:00","","","21NC01WQ-J1330000","","","Salinity","Total","0","Final","Actual"
"21NC01WQ","2/17/93","16:03:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","98.3","Final","Calculated"
"21NC01WQ","4/22/91","14:10:00","","","21NC01WQ-J1330000","","","Phosphate-phosphorus as P","Total","0.5","Final","Actual"
"21NC01WQ","7/14/94","14:40:00","","","21NC01WQ-J1330000","","","pH","Total","7.1","Final","Actual"
"21NC01WQ","4/28/93","15:55:00","","","21NC01WQ-J1330000","","","Flow"," ","16","Final","Actual"
"21NC01WQ","4/28/93","15:55:00","","","21NC01WQ-J1330000","","","Dissolved oxygen (DO)","Dissolved","8.4","Final","Actual"
"21NC01WQ","1/13/93","15:07:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","50","Final","Calculated"
"21NC01WQ","1/8/92","14:10:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","4.2","Final","Actual"
"21NC01WQ","8/23/88","13:30:00","","","21NC01WQ-J1330000","","","Turbidity","Total","23","Final","Actual"
"21NC01WQ","9/7/88","15:40:00","","","21NC01WQ-J1330000","","","pH","Total","6.93","Final","Actual"
"21NC01WQ","1/13/93","15:07:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","92","Final","Calculated"
"21NC01WQ","1/13/93","15:07:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","10","Final","Actual"
"21NC01WQ","1/13/93","15:07:00","","","21NC01WQ-J1330000","","","Flow"," ","77","Final","Actual"
"21NC01WQ","7/13/88","16:50:00","","","21NC01WQ-J1330000","","","Orthophosphate as P","Total","1.3","Final","Actual"
"21NC01WQ","3/17/94","14:50:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","104.5","Final","Calculated"
"21NC01WQ","3/17/94","14:50:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","11","Final","Actual"
"21NC01WQ","3/17/94","14:50:00","","","21NC01WQ-J1330000","","","Salinity","Total","0","Final","Actual"
"21NC01WQ","4/20/90","10:30:00","","","21NC01WQ-J1330000","","","Phosphate-phosphorus as P","Total","0.91","Final","Actual"
"21NC01WQ","4/20/90","10:30:00","","","21NC01WQ-J1330000","","","Orthophosphate as P","Total","0.69","Final","Actual"
"21NC01WQ","8/23/94","14:45:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","1.3","Final","Actual"
"21NC01WQ","3/17/94","14:50:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","209","Final","Actual"
"21NC01WQ","3/17/94","14:50:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","51.8","Final","Calculated"
"21NC01WQ","3/17/94","14:50:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","1.7","Final","Actual"
"21NC01WQ","4/18/94","16:00:00","","","21NC01WQ-J1330000","","","pH","Total","7.2","Final","Actual"
"21NC01WQ","8/12/93","11:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen (DO)","Dissolved","5.9","Final","Actual"
"21NC01WQ","11/25/91","13:30:00","","","21NC01WQ-J1330000","","","Inorganic nitrogen (nitrate and nitrite) as N","Total","18","Final","Actual"
"21NC01WQ","6/24/91","13:55:00","","","21NC01WQ-J1330000","","","Dissolved oxygen (DO)","Dissolved","6","Final","Actual"
"21NC01WQ","3/12/92","13:20:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","1.6","Final","Actual"
"21NC01WQ","8/23/94","14:45:00","","","21NC01WQ-J1330000","","","Dissolved oxygen (DO)","Dissolved","8","Final","Actual"
"21NC01WQ","9/19/94","15:00:00","","","21NC01WQ-J1330000","","","Ammonia-nitrogen as N","Total","0.15","Final","Actual"
"21NC01WQ","3/23/93","15:11:00","","","21NC01WQ-J1330000","","","Flow"," ","22","Final","Actual"
"21NC01WQ","4/22/91","14:10:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","235","Final","Actual"
"21NC01WQ","4/22/91","14:10:00","","","21NC01WQ-J1330000","","","pH","Total","7.08","Final","Actual"
"21NC01WQ","3/23/95","15:14:00","","","21NC01WQ-J1330000","","","Dissolved oxygen (DO)","Dissolved","10.8","Final","Actual"
"21NC01WQ","2/22/94","15:15:00","","","21NC01WQ-J1330000","","","Salinity","Total","0","Final","Actual"
"21NC01WQ","7/15/92","14:00:00","","","21NC01WQ-J1330000","","","pH","Total","7.4","Final","Actual"
"21NC01WQ","4/22/91","14:10:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","58.1","Final","Calculated"
"21NC01WQ","11/25/91","13:30:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","62","Final","Calculated"
"21NC01WQ","11/25/91","13:30:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","385","Final","Actual"
"21NC01WQ","2/14/95","15:15:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","442","Final","Actual"
"21NC01WQ","7/26/93","13:39:00","","","21NC01WQ-J1330000","","","Phosphate-phosphorus as P","Total","0.41","Final","Actual"
"21NC01WQ","2/14/95","15:15:00","","","21NC01WQ-J1330000","","","Inorganic nitrogen (nitrate and nitrite) as N","Total","3.2","Final","Actual"
"21NC01WQ","5/23/88","15:55:00","","","21NC01WQ-J1330000","","","Biochemical oxygen demand, standard conditions","Total","8.6","Final","Actual"
"21NC01WQ","6/21/88","16:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen (DO)","Dissolved","3.3","Final","Actual"
"21NC01WQ","6/21/88","16:00:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","222","Final","Actual"
"21NC01WQ","6/21/88","16:00:00","","","21NC01WQ-J1330000","","","Phosphate-phosphorus as P","Total","1.2","Final","Actual"
"21NC01WQ","10/14/92","14:53:00","","","21NC01WQ-J1330000","","","Phosphate-phosphorus as P","Total","0.51","Final","Actual"
"21NC01WQ","10/24/86","11:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen (DO)","Dissolved","2.8","Final","Actual"
"21NC01WQ","5/13/86","11:10:00","","","21NC01WQ-J1330000","","","Phosphate-phosphorus as P","Total","6.1","Final","Actual"
"21NC01WQ","5/13/86","11:10:00","","","21NC01WQ-J1330000","","","Ammonia-nitrogen as N","Total","14","Final","Actual"
"21NC01WQ","5/13/86","11:10:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","66.2","Final","Calculated"
"21NC01WQ","5/13/86","11:12:00","","","21NC01WQ-J1330000","","","Flow"," ","8","Final","Actual"
"21NC01WQ","6/16/86","12:00:00","","","21NC01WQ-J1330000","","","Dissolved oxygen saturation","Dissolved","35.3","Final","Calculated"
"21NC01WQ","6/18/92","15:30:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","73.4","Final","Calculated"
"21NC01WQ","6/18/92","15:30:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","23","Final","Actual"
"21NC01WQ","5/13/92","9:35:00","","","21NC01WQ-J1330000","","","Temperature, water"," ","19.5","Final","Actual"
"21NC01WQ","5/16/85","11:30:00","","","21NC01WQ-J1330000","","","Specific conductance","Total","112","Final","Actual"
"21NC01WQ","11/17/88","16:50:00","","","21NC01WQ-J1330000","","","Kjeldahl nitrogen","Total","0.8","Final","Actual"
