"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityEndTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC",1987-03-25,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","73","Historical","Actual"
"USGS-NC",1983-03-18,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","8","Historical","Actual"
"USGS-NC",1985-06-18,"9:40:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","81","Historical","Actual"
"USGS-NC",1986-01-22,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","91","Historical","Actual"
"USGS-NC",1984-02-23,"13:15:00",NA,"","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","9.3","Historical","Actual"
"USGS-NC",1983-08-01,"9:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","97","Historical","Actual"
"USGS-NC",2011-07-20,"11:00:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Height, gage","","0.26","Preliminary","Actual"
"USGS-NC",2011-09-02,"12:55:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Height, gage","","0.26","Preliminary","Actual"
"USGS-NC",2012-06-29,"12:40:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Height, gage","","0.28","Preliminary","Actual"
"USGS-NC",2011-11-28,"11:30:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Height, gage","","0.34","Preliminary","Actual"
"USGS-NC",2012-01-30,"11:50:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Height, gage","","0.34","Preliminary","Actual"
"USGS-NC",2011-12-29,"11:15:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Height, gage","","0.38","Preliminary","Actual"
"USGS-NC",2011-09-28,"11:45:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Height, gage","","0.45","Preliminary","Actual"
"USGS-NC",1986-11-24,"8:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Height, gage","","0.84","Historical","Actual"
"USGS-NC",1986-05-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Height, gage","","0.84","Historical","Actual"
"USGS-NC",1986-09-23,"10:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Height, gage","","0.84","Historical","Actual"
"USGS-NC",1986-10-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","0.85","Historical","Actual"
"USGS-NC",1986-07-28,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Height, gage","","0.87","Historical","Actual"
"USGS-NC",1987-05-18,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","0.92","Historical","Actual"
"USGS-NC",1993-08-12,"11:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","1.43","Historical","Actual"
"USGS-NC",2014-05-12,"16:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Height, gage","","1.6","Accepted","Actual"
"USGS-NC",2014-05-29,"12:20:00",NA,"","USGS-02086849","Routine sample","Not determined","Height, gage","","1.61","Accepted","Actual"
"USGS-NC",2014-06-10,"9:30:00",NA,"","USGS-02086849","Routine sample","Not determined","Height, gage","","1.62","Accepted","Actual"
"USGS-NC",1987-02-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","1.73","Historical","Actual"
"USGS-NC",2006-01-18,"9:30:00",NA,"","USGS-02086849","Storm","Rising stage","Height, gage","","2.92","Accepted","Actual"
"USGS-NC",1987-04-16,"11:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Height, gage","","3.3","Historical","Actual"
"USGS-NC",2011-05-14,"17:15:00",2011-05-14,"17:30:59","USGS-02086849","Storm","Rising stage","Height, gage","","4.31","Accepted","Actual"
"USGS-NC",2014-04-15,"10:50:00",NA,"","USGS-02086849","Routine sample","Stable, high stage","Height, gage","","4.43","Accepted","Actual"
"USGS-NC",2009-01-06,"11:15:00",NA,"","USGS-02086849","Storm","Peak stage","Height, gage","","4.99","Accepted","Actual"
"USGS-NC",2009-11-11,"11:00:00",NA,"","USGS-02086849","Storm","Rising stage","Height, gage","","7.93","Accepted","Actual"
"USGS-NC",2008-09-26,"11:15:00",NA,"","USGS-02086849","Storm","Falling stage","Height, gage","","9.73","Accepted","Actual"
"USGS-NC",2011-07-20,"11:00:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.37","Preliminary","Actual"
"USGS-NC",2011-09-02,"12:55:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.44","Preliminary","Actual"
"USGS-NC",2017-12-21,"10:05:00",NA,"","USGS-0208675009","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.48","Accepted","Actual"
"USGS-NC",2012-01-30,"11:50:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.53","Preliminary","Actual"
"USGS-NC",2011-11-28,"11:30:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","","Preliminary","Actual"
"USGS-NC",2012-06-29,"12:40:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","","Preliminary","Actual"
"USGS-NC",2012-05-30,"12:30:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.63","Preliminary","Actual"
"USGS-NC",2011-12-29,"11:15:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.71","Preliminary","Actual"
"USGS-NC",2011-09-28,"11:45:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.77","Preliminary","Actual"
"USGS-NC",1984-05-03,"10:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","10","Historical","Actual"
"USGS-NC",1984-07-24,"12:30:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","11","Historical","Actual"
"USGS-NC",1987-04-16,"11:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.1","Historical","Actual"
"USGS-NC",1985-03-26,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","12","Historical","Actual"
"USGS-NC",2017-06-05,"21:03:00",NA,"","USGS-0208675009","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.2","Accepted","Actual"
"USGS-NC",2017-07-08,"20:21:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.2","Accepted","Actual"
"USGS-NC",1984-08-07,"11:10:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","13","Historical","Actual"
"USGS-NC",1985-02-20,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","13","Historical","Actual"
"USGS-NC",1985-12-17,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","13","Historical","Actual"
"USGS-NC",2018-01-12,"22:05:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.3","Accepted","Actual"
"USGS-NC",2017-11-13,"4:52:00",NA,"","USGS-0208675009","Storm","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.3","Accepted","Actual"
"USGS-NC",2017-08-13,"7:15:00",NA,"","USGS-0208675009","Storm","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.4","Accepted","Actual"
"USGS-NC",2017-05-25,"4:25:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.4","Accepted","Actual"
"USGS-NC",1984-06-18,"11:15:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","15","Historical","Actual"
"USGS-NC",2016-10-08,"14:15:00",NA,"","USGS-0208675009","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.5","Accepted","Actual"
"USGS-NC",1984-05-21,"11:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","17","Historical","Actual"
"USGS-NC",1985-04-30,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","17","Historical","Actual"
"USGS-NC",1986-07-28,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","17","Historical","Actual"
"USGS-NC",1983-05-09,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","17","Historical","Actual"
"USGS-NC",1983-09-07,"12:50:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","17","Historical","Actual"
"USGS-NC",2009-11-11,"11:00:00",NA,"","USGS-02086849","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.7","Accepted","Actual"
"USGS-NC",2008-09-26,"11:15:00",NA,"","USGS-02086849","Storm","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.7","Accepted","Actual"
"USGS-NC",2017-09-01,"19:45:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.8","Accepted","Actual"
"USGS-NC",2009-01-06,"11:15:00",NA,"","USGS-02086849","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.8","Accepted","Actual"
"USGS-NC",1985-09-24,"14:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","19","Historical","Actual"
"USGS-NC",1985-10-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","19","Historical","Actual"
"USGS-NC",1986-10-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","19","Historical","Actual"
"USGS-NC",1985-11-21,"15:00:00",NA,"","USGS-02086849","Flood","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.9","Historical","Actual"
"USGS-NC",1984-12-19,"9:20:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","20","Historical","Actual"
"USGS-NC",1986-06-18,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","21","Historical","Actual"
"USGS-NC",1983-12-06,"10:05:00",NA,"","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.1","Historical","Actual"
"USGS-NC",1983-12-06,"16:05:00",NA,"","USGS-02086849","Flood","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.1","Historical","Actual"
"USGS-NC",1986-05-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","22","Historical","Actual"
"USGS-NC",2017-05-05,"6:10:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.2","Accepted","Actual"
"USGS-NC",2017-03-01,"21:30:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.2","Accepted","Actual"
"USGS-NC",1986-11-24,"8:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","23","Historical","Actual"
"USGS-NC",1987-05-18,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","23","Historical","Actual"
"USGS-NC",1985-05-23,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.5","Historical","Actual"
"USGS-NC",1982-11-17,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","26","Historical","Actual"
"USGS-NC",1986-09-23,"10:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","26","Historical","Actual"
"USGS-NC",1984-12-04,"14:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","26","Historical","Actual"
"USGS-NC",1982-12-16,"11:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.6","Historical","Actual"
"USGS-NC",2006-01-18,"9:30:00",NA,"","USGS-02086849","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.8","Accepted","Actual"
"USGS-NC",1982-12-16,"14:40:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3","Historical","Actual"
"USGS-NC",1985-08-18,"19:45:00",NA,"","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.1","Historical","Actual"
"USGS-NC",1984-07-10,"10:15:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","33","Historical","Actual"
"USGS-NC",1984-04-23,"9:35:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.3","Historical","Actual"
"USGS-NC",1982-12-16,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.5","Historical","Actual"
"USGS-NC",2011-05-14,"17:15:00",2011-05-14,"17:30:59","USGS-02086849","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.8","Accepted","Actual"
"USGS-NC",1987-02-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","4.7","Historical","Actual"
"USGS-NC",1984-03-28,"10:55:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","6.4","Historical","Actual"
"USGS-NC",1985-11-21,"15:00:00",NA,"","USGS-02086849","Flood","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","1.1","Historical","Actual"
"USGS-NC",1983-12-06,"10:05:00",NA,"","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","1.3","Historical","Actual"
"USGS-NC",1983-09-07,"12:50:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","14","Historical","Actual"
"USGS-NC",1983-05-09,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","15","Historical","Actual"
"USGS-NC",1984-12-19,"9:20:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","16","Historical","Actual"
"USGS-NC",1982-12-16,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","2","Historical","Actual"
"USGS-NC",1985-08-18,"19:45:00",NA,"","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","2.1","Historical","Actual"
"USGS-NC",1982-11-17,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","25","Historical","Actual"
"USGS-NC",2011-07-20,"11:00:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Phosphorus","Total","0.039","Preliminary","Actual"
"USGS-NC",2011-09-02,"12:55:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Phosphorus","Total","0.056","Preliminary","Actual"
"USGS-NC",2011-11-28,"11:30:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Phosphorus","Total","0.057","Preliminary","Actual"
"USGS-NC",2012-01-30,"11:50:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Phosphorus","Total","0.059","Preliminary","Actual"
"USGS-NC",2012-06-29,"12:40:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Phosphorus","Total","0.074","Preliminary","Actual"
"USGS-NC",2016-07-12,"13:00:00",NA,"","USGS-02086839","Routine sample","Stable, normal stage","Phosphorus","Total","0.076","Accepted","Actual"
"USGS-NC",2016-07-12,"14:10:00",NA,"","USGS-02086843","Routine sample","Stable, normal stage","Phosphorus","Total","0.08","Accepted","Actual"
"USGS-NC",2014-05-29,"12:20:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.081","Accepted","Actual"
"USGS-NC",2016-07-12,"14:40:00",NA,"","USGS-02086845","Routine sample","Stable, normal stage","Phosphorus","Total","0.081","Accepted","Actual"
"USGS-NC",2011-12-29,"11:15:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Phosphorus","Total","0.092","Preliminary","Actual"
"USGS-NC",2017-12-21,"10:05:00",NA,"","USGS-0208675009","Routine sample","Falling stage","Phosphorus","Total","0.092","Accepted","Actual"
"USGS-NC",2012-05-30,"12:30:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Phosphorus","Total","0.096","Preliminary","Actual"
"USGS-NC",2016-07-12,"10:25:00",NA,"","USGS-02086833","Routine sample","Stable, normal stage","Phosphorus","Total","0.097","Accepted","Actual"
"USGS-NC",2016-07-12,"11:20:00",NA,"","USGS-360211078513701","Routine sample","Stable, normal stage","Phosphorus","Total","0.11","Accepted","Actual"
"USGS-NC",2014-05-12,"16:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","0.124","Accepted","Actual"
"USGS-NC",2011-09-28,"11:45:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Phosphorus","Total","0.128","Preliminary","Actual"
"USGS-NC",2014-06-10,"9:30:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.132","Accepted","Actual"
"USGS-NC",2017-07-08,"20:21:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.173","Accepted","Actual"
"USGS-NC",1985-08-18,"19:45:00",NA,"","USGS-02086849","Flood","Rising stage","Phosphorus","Total","0.19","Historical","Actual"
"USGS-NC",1987-02-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","0.21","Historical","Actual"
"USGS-NC",1983-12-06,"16:05:00",NA,"","USGS-02086849","Flood","Falling stage","Phosphorus","Total","0.21","Historical","Actual"
"USGS-NC",2018-01-12,"22:05:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.254","Accepted","Actual"
"USGS-NC",1987-04-16,"11:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","0.27","Historical","Actual"
"USGS-NC",1985-05-23,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","0.27","Historical","Actual"
"USGS-NC",2017-08-13,"7:15:00",NA,"","USGS-0208675009","Storm","Falling stage","Phosphorus","Total","0.27","Accepted","Actual"
"USGS-NC",2017-06-05,"21:03:00",NA,"","USGS-0208675009","Storm","Rising stage","Phosphorus","Total","0.276","Accepted","Actual"
"USGS-NC",2016-10-08,"14:15:00",NA,"","USGS-0208675009","Storm","Rising stage","Phosphorus","Total","0.326","Accepted","Actual"
"USGS-NC",1984-04-23,"9:35:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","0.33","Historical","Actual"
"USGS-NC",2009-01-06,"11:15:00",NA,"","USGS-02086849","Storm","Peak stage","Phosphorus","Total","0.36","Accepted","Actual"
"USGS-NC",2008-09-26,"11:15:00",NA,"","USGS-02086849","Storm","Falling stage","Phosphorus","Total","0.364","Accepted","Actual"
"USGS-NC",2017-11-13,"4:52:00",NA,"","USGS-0208675009","Storm","Falling stage","Phosphorus","Total","0.371","Accepted","Actual"
"USGS-NC",2009-11-11,"11:00:00",NA,"","USGS-02086849","Storm","Rising stage","Phosphorus","Total","0.41","Accepted","Actual"
"USGS-NC",1983-12-06,"10:05:00",NA,"","USGS-02086849","Flood","Rising stage","Phosphorus","Total","0.41","Historical","Actual"
"USGS-NC",2017-05-25,"4:25:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.413","Accepted","Actual"
"USGS-NC",2017-09-01,"19:45:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.437","Accepted","Actual"
"USGS-NC",1985-11-21,"15:00:00",NA,"","USGS-02086849","Flood","Falling stage","Phosphorus","Total","0.44","Historical","Actual"
"USGS-NC",1982-12-16,"14:40:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.46","Historical","Actual"
"USGS-NC",2006-01-18,"9:30:00",NA,"","USGS-02086849","Storm","Rising stage","Phosphorus","Total","0.5","Accepted","Actual"
"USGS-NC",2017-03-01,"21:30:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.516","Accepted","Actual"
"USGS-NC",2011-05-14,"17:15:00",2011-05-14,"17:30:59","USGS-02086849","Storm","Rising stage","Phosphorus","Total","0.582","Accepted","Actual"
"USGS-NC",1982-12-16,"11:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.6","Historical","Actual"
"USGS-NC",2017-05-05,"6:10:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.74","Accepted","Actual"
"USGS-NC",2014-04-15,"10:50:00",NA,"","USGS-02086849","Routine sample","Stable, high stage","Phosphorus","Total","0.761","Accepted","Actual"
"USGS-NC",1982-12-16,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.84","Historical","Actual"
"USGS-NC",1984-03-28,"10:55:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","1.9","Historical","Actual"
"USGS-NC",1985-02-20,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","2.2","Historical","Actual"
"USGS-NC",1984-12-04,"14:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","2.4","Historical","Actual"
"USGS-NC",1982-11-17,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","2.8","Historical","Actual"
"USGS-NC",1984-05-03,"10:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","3","Historical","Actual"
"USGS-NC",1985-03-26,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","3.1","Historical","Actual"
"USGS-NC",1985-12-17,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","3.2","Historical","Actual"
"USGS-NC",1986-07-28,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","3.7","Historical","Actual"
"USGS-NC",1984-07-24,"12:30:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","3.8","Historical","Actual"
"USGS-NC",1985-10-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","4.1","Historical","Actual"
"USGS-NC",1984-06-18,"11:15:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","4.2","Historical","Actual"
"USGS-NC",1984-05-21,"11:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.1","Historical","Actual"
"USGS-NC",1986-05-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.1","Historical","Actual"
"USGS-NC",1984-08-07,"11:10:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.3","Historical","Actual"
"USGS-NC",1986-10-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","5.3","Historical","Actual"
"USGS-NC",1986-11-24,"8:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","5.3","Historical","Actual"
"USGS-NC",1987-05-18,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","5.4","Historical","Actual"
"USGS-NC",1984-12-19,"9:20:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.6","Historical","Actual"
"USGS-NC",1986-06-18,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.7","Historical","Actual"
"USGS-NC",1984-07-10,"10:15:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","5.8","Historical","Actual"
"USGS-NC",1985-09-24,"14:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.9","Historical","Actual"
"USGS-NC",1983-09-07,"12:50:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","6.2","Historical","Actual"
